Tabelle: 12711-0008
Wanderungen zwischen Deutschland und dem Ausland:;;;
Deutschland, Jahre, Nationalität, Herkunfts-/Zielländer;;;
Wanderungsstatistik;;;;;;
Deutschland;;;;;;
;Deutsche;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;
Montenegro (ab 03.06.2006);0;e;0;e;0;e
Litauen;264;e;56;e;208;e
Luxemburg;518;e;735;e;-217;e
Nordmazedonien;62;e;44;e;18;e
Malta;51;e;67;e;-16;e
Niederlande;3576;e;3345;e;231;e
Norwegen;367;e;858;e;-491;e
Kosovo;0;e;0;e;0;e
Österreich;3856;e;6903;e;-3047;e
Polen;16904;e;10262;e;6642;e
Portugal;768;e;845;e;-77;e
Rumänien;600;e;415;e;185;e
Slowakei;118;e;124;e;-6;e
Schweden;534;e;1231;e;-697;e
Schweiz;4420;e;11225;e;-6805;e
Russische Föderation;36280;e;1854;e;34426;e
Spanien;6156;e;6769;e;-613;e
Türkei;1492;e;1602;e;-110;e
Tschechien;702;e;710;e;-8;e
Ungarn;709;e;653;e;56;e
Ukraine;2877;e;153;e;2724;e
Vereinigtes Königreich;4186;e;6264;e;-2078;e
Belarus;295;e;32;e;263;e
Serbien;0;e;0;e;0;e
Zypern;126;e;144;e;-18;e
Übriges Europa;702;e;456;e;246;e
Algerien;82;e;71;e;11;e
Angola;15;e;26;e;-11;e
Äthiopien;110;e;99;e;11;e
Cote d'Ivoire;64;e;22;e;42;e
Nigeria;150;e;103;e;47;e
Ghana;140;e;113;e;27;e
Kenia;237;e;185;e;52;e
Kongo, Republik;17;e;19;e;-2;e
Kongo, Demokratische Republik;5;e;11;e;-6;e
Libyen;28;e;35;e;-7;e
Marokko;202;e;163;e;39;e
Niger;19;e;12;e;7;e
Kamerun;55;e;63;e;-8;e
Südafrika;819;e;973;e;-154;e
Ruanda;12;e;21;e;-9;e
Namibia;253;e;195;e;58;e
Senegal;49;e;54;e;-5;e
Somalia;4;e;2;e;2;e
Sudan (einschließlich Südsudan) (bis 08.07.2011);-;;-;;-;
Sudan (ohne Südsudan) (ab 09.07.2011);-;;-;;-;
Südsudan (ab 09.07.2011);-;;-;;-;
Tansania;134;e;131;e;3;e
Tunesien;247;e;203;e;44;e
Uganda;50;e;68;e;-18;e
Ägypten;298;e;347;e;-49;e
Zentralafrikanische Republik;24;e;12;e;12;e
Übriges Afrika;671;e;523;e;148;e
Argentinien;465;e;350;e;115;e
Bolivien, Plurinationaler Staat;217;e;136;e;81;e
Brasilien;1287;e;1114;e;173;e
Chile;369;e;336;e;33;e
Costa Rica;105;e;87;e;18;e
Honduras;35;e;33;e;2;e
