year,country,emigration,immigration,return_rate_country
2004,Thailand,885,720,0.8135593220338984
2004,Tschechien,919,738,0.8030467899891186
2004,Tunesien,249,225,0.9036144578313253
2004,Türkei,2125,1533,0.7214117647058823
2004,Uganda,37,53,1.4324324324324325
2004,Ukraine,252,2497,9.908730158730158
2004,Unbekanntes Ausland,0,0,
2004,Ungarn,903,621,0.6877076411960132
2004,Ungeklärt / Ohne Angabe,35947,41117,1.143822850307397
2004,Uruguay,55,56,1.018181818181818
2004,Usbekistan,44,616,14.0
2004,"Venezuela, Bolivarische Republik",173,184,1.0635838150289016
2004,Vereinigte Arabische Emirate,612,258,0.4215686274509804
2004,Vereinigte Staaten,12976,9677,0.7457614056720099
2004,Vereinigtes Königreich,7842,4049,0.5163223667431778
2004,Vietnam,139,108,0.7769784172661871
2004,Zentralafrikanische Republik,8,10,1.25
2004,Zypern,152,113,0.743421052631579
2004,Ägypten,387,347,0.896640826873385
2004,Äthiopien,108,88,0.8148148148148148
2004,Österreich,8532,4027,0.4719878105954055
2004,Übriges Afrika,501,572,1.1417165668662674
2004,Übriges Amerika,732,802,1.0956284153005464
2004,Übriges Asien,776,729,0.9394329896907216
2004,Übriges Europa,443,625,1.4108352144469527
2004,Übriges Ozeanien,71,95,1.3380281690140845
2005,Afghanistan,169,96,0.5680473372781065
2005,Albanien,39,29,0.7435897435897436
2005,Algerien,128,110,0.859375
2005,Andorra,12,9,0.75
2005,Angola,10,10,1.0
2005,Argentinien,374,324,0.8663101604278075
2005,Armenien,10,21,2.1
2005,Aserbaidschan,24,55,2.2916666666666665
2005,Australien,2512,1393,0.5545382165605095
2005,Belarus,49,274,5.591836734693878
2005,Belgien,2491,2033,0.8161380971497391
2005,"Bolivien, Plurinationaler Staat",143,180,1.2587412587412588
2005,Bosnien und Herzegowina,78,69,0.8846153846153846
2005,Brasilien,1371,1269,0.925601750547046
2005,Bulgarien,178,154,0.8651685393258427
2005,Chile,326,389,1.1932515337423313
2005,China,2028,1099,0.5419132149901381
2005,Costa Rica,118,110,0.9322033898305084
2005,Cote d'Ivoire,14,26,1.8571428571428572
2005,Dänemark,889,547,0.6152980877390326
2005,Estland,69,76,1.1014492753623188
2005,Finnland,327,188,0.5749235474006116
2005,Frankreich,7316,5593,0.7644887916894478
2005,Georgien,39,70,1.794871794871795
2005,Ghana,155,124,0.8
2005,Griechenland,1236,772,0.6245954692556634
2005,Honduras,40,29,0.725
2005,Indien,545,438,0.8036697247706422
2005,Indonesien,309,246,0.7961165048543689
2005,Insgesamt,144815,128051,0.8842385112039499
2005,Irak,217,95,0.4377880184331797
2005,"Iran, Islamische Republik",313,209,0.6677316293929713
2005,Irland,1017,506,0.4975417895771878
2005,Island,106,34,0.32075471698113206
