year,dimension_type,dimension_value,direction,value
2001,country,Argentinien,emigration,271.0
2001,country,Argentinien,immigration,618.0
2001,country,Armenien,emigration,10.0
2001,country,Armenien,immigration,58.0
2001,country,Aserbaidschan,emigration,13.0
2001,country,Aserbaidschan,immigration,69.0
2001,country,Australien,emigration,1614.0
2001,country,Australien,immigration,1126.0
2001,country,Belarus,emigration,42.0
2001,country,Belarus,immigration,205.0
2001,country,Belgien,emigration,2285.0
2001,country,Belgien,immigration,2147.0
2001,country,"Bolivien, Plurinationaler Staat",emigration,126.0
2001,country,"Bolivien, Plurinationaler Staat",immigration,182.0
2001,country,Bosnien und Herzegowina,emigration,105.0
2001,country,Bosnien und Herzegowina,immigration,124.0
2001,country,Brasilien,emigration,1071.0
2001,country,Brasilien,immigration,1368.0
2001,country,Bulgarien,emigration,106.0
2001,country,Bulgarien,immigration,177.0
2001,country,Chile,emigration,274.0
2001,country,Chile,immigration,449.0
2001,country,China,emigration,864.0
2001,country,China,immigration,801.0
2001,country,Costa Rica,emigration,82.0
2001,country,Costa Rica,immigration,129.0
2001,country,Cote d'Ivoire,emigration,35.0
2001,country,Cote d'Ivoire,immigration,27.0
2001,country,Dänemark,emigration,722.0
2001,country,Dänemark,immigration,656.0
2001,country,Estland,emigration,54.0
2001,country,Estland,immigration,118.0
2001,country,Finnland,emigration,252.0
2001,country,Finnland,immigration,187.0
2001,country,Frankreich,emigration,6630.0
2001,country,Frankreich,immigration,5411.0
2001,country,Georgien,emigration,17.0
2001,country,Georgien,immigration,71.0
2001,country,Ghana,emigration,99.0
2001,country,Ghana,immigration,135.0
2001,country,Griechenland,emigration,962.0
2001,country,Griechenland,immigration,1009.0
2001,country,Honduras,emigration,23.0
2001,country,Honduras,immigration,59.0
2001,country,Indien,emigration,381.0
2001,country,Indien,immigration,462.0
2001,country,Indonesien,emigration,276.0
2001,country,Indonesien,immigration,323.0
2001,country,Irak,emigration,17.0
2001,country,Irak,immigration,80.0
2001,country,"Iran, Islamische Republik",emigration,90.0
2001,country,"Iran, Islamische Republik",immigration,111.0
2001,country,Irland,emigration,746.0
2001,country,Irland,immigration,611.0
2001,country,Island,emigration,71.0
2001,country,Island,immigration,61.0
2001,country,Israel,emigration,381.0
2001,country,Israel,immigration,399.0
2001,country,Italien,emigration,3013.0
2001,country,Italien,immigration,2559.0
2001,country,Japan,emigration,452.0
2001,country,Japan,immigration,484.0
2001,country,Jemen,emigration,28.0
2001,country,Jemen,immigration,42.0
2001,country,Jordanien,emigration,112.0
2001,country,Jordanien,immigration,157.0
2001,country,Kamerun,emigration,47.0
2001,country,Kamerun,immigration,77.0
2001,country,Kanada,emigration,1926.0
2001,country,Kanada,immigration,1322.0
2001,country,Kasachstan,emigration,557.0
2001,country,Kasachstan,immigration,41212.0
2001,country,Kenia,emigration,144.0
2001,country,Kenia,immigration,228.0
2001,country,Kirgisistan,emigration,74.0
2001,country,Kirgisistan,immigration,1917.0
2001,country,Kolumbien,emigration,131.0
2001,country,Kolumbien,immigration,385.0
2001,country,"Kongo, Demokratische Republik",emigration,8.0
2001,country,"Kongo, Demokratische Republik",immigration,9.0
2001,country,"Kongo, Republik",emigration,19.0
2001,country,"Kongo, Republik",immigration,18.0
2001,country,"Korea, Demokratische Volksrepublik",emigration,27.0
2001,country,"Korea, Demokratische Volksrepublik",immigration,28.0
2001,country,"Korea, Republik",emigration,95.0
2001,country,"Korea, Republik",immigration,127.0
2001,country,Kosovo,emigration,0.0
2001,country,Kosovo,immigration,0.0
2001,country,Kroatien,emigration,260.0
2001,country,Kroatien,immigration,247.0
2001,country,Kuwait,emigration,31.0
2001,country,Kuwait,immigration,23.0
2001,country,Lettland,emigration,68.0
2001,country,Lettland,immigration,177.0
2001,country,Libanon,emigration,305.0
2001,country,Libanon,immigration,240.0
2001,country,Libyen,emigration,41.0
2001,country,Libyen,immigration,36.0
2001,country,Litauen,emigration,54.0
2001,country,Litauen,immigration,256.0
2001,country,Luxemburg,emigration,638.0
2001,country,Luxemburg,immigration,503.0
2001,country,Malta,emigration,43.0
2001,country,Malta,immigration,51.0
2001,country,Marokko,emigration,147.0
2001,country,Marokko,immigration,191.0
