year,origin,destination,migrants
2002,Germany,Uruguay,73.0
2002,Germany,Usbekistan,38.0
2002,Germany,"Venezuela, Bolivarische Republik",151.0
2002,Germany,Vereinigte Arabische Emirate,309.0
2002,Germany,Vereinigte Staaten,13047.0
2002,Germany,Vereinigtes Königreich,5806.0
2002,Germany,Vietnam,88.0
2002,Germany,Zentralafrikanische Republik,18.0
2002,Germany,Zypern,120.0
2002,Germany,Ägypten,53.0
2002,Germany,Äthiopien,76.0
2002,Germany,Österreich,6279.0
2002,Germany,Übriges Afrika,501.0
2002,Germany,Übriges Amerika,655.0
2002,Germany,Übriges Asien,687.0
2002,Germany,Übriges Europa,483.0
2002,Germany,Übriges Ozeanien,86.0
2003,Germany,Afghanistan,156.0
2003,Germany,Albanien,44.0
2003,Germany,Algerien,71.0
2003,Germany,Andorra,15.0
2003,Germany,Angola,26.0
2003,Germany,Argentinien,350.0
2003,Germany,Armenien,11.0
2003,Germany,Aserbaidschan,13.0
2003,Germany,Australien,1923.0
2003,Germany,Belarus,32.0
2003,Germany,Belgien,2471.0
2003,Germany,"Bolivien, Plurinationaler Staat",136.0
2003,Germany,Bosnien und Herzegowina,95.0
2003,Germany,Brasilien,1114.0
2003,Germany,Bulgarien,141.0
2003,Germany,Chile,336.0
2003,Germany,China,1133.0
2003,Germany,Costa Rica,87.0
2003,Germany,Cote d'Ivoire,22.0
2003,Germany,Dänemark,741.0
2003,Germany,Estland,60.0
2003,Germany,Finnland,301.0
2003,Germany,Frankreich,6864.0
2003,Germany,Georgien,21.0
2003,Germany,Ghana,113.0
2003,Germany,Griechenland,1040.0
2003,Germany,Honduras,33.0
2003,Germany,Indien,373.0
2003,Germany,Indonesien,196.0
2003,Germany,Irak,72.0
2003,Germany,"Iran, Islamische Republik",194.0
2003,Germany,Irland,774.0
2003,Germany,Island,66.0
2003,Germany,Israel,367.0
2003,Germany,Italien,3083.0
2003,Germany,Japan,526.0
2003,Germany,Jemen,30.0
2003,Germany,Jordanien,125.0
2003,Germany,Kamerun,63.0
2003,Germany,Kanada,2442.0
2003,Germany,Kasachstan,571.0
2003,Germany,Kenia,185.0
2003,Germany,Kirgisistan,68.0
2003,Germany,Kolumbien,171.0
2003,Germany,"Kongo, Demokratische Republik",11.0
2003,Germany,"Kongo, Republik",19.0
2003,Germany,"Korea, Demokratische Volksrepublik",61.0
2003,Germany,"Korea, Republik",134.0
2003,Germany,Kosovo,0.0
2003,Germany,Kroatien,342.0
2003,Germany,Kuwait,64.0
2003,Germany,Lettland,59.0
2003,Germany,Libanon,349.0
2003,Germany,Libyen,35.0
2003,Germany,Litauen,56.0
2003,Germany,Luxemburg,735.0
2003,Germany,Malta,67.0
2003,Germany,Marokko,163.0
2003,Germany,Mexiko,493.0
2003,Germany,Montenegro (ab 03.06.2006),0.0
2003,Germany,Namibia,195.0
2003,Germany,Neuseeland,569.0
2003,Germany,Nicaragua,51.0
2003,Germany,Niederlande,3345.0
2003,Germany,Niger,12.0
2003,Germany,Nigeria,103.0
2003,Germany,Nordmazedonien,44.0
2003,Germany,Norwegen,858.0
2003,Germany,Pakistan,234.0
2003,Germany,Paraguay,228.0
2003,Germany,Peru,147.0
2003,Germany,Philippinen,393.0
2003,Germany,Polen,10262.0
2003,Germany,Portugal,845.0
2003,Germany,Ruanda,21.0
2003,Germany,Rumänien,415.0
2003,Germany,Russische Föderation,1854.0
2003,Germany,Saudi-Arabien,139.0
2003,Germany,Schweden,1231.0
2003,Germany,Schweiz,11225.0
2003,Germany,Senegal,54.0
2003,Germany,Serbien,0.0
2003,Germany,Singapur,341.0
2003,Germany,Slowakei,124.0
2003,Germany,Slowenien,120.0
2003,Germany,Somalia,2.0
2003,Germany,Spanien,6769.0
2003,Germany,Syrien,158.0
2003,Germany,Südafrika,973.0
2003,Germany,Tadschikistan,70.0
2003,Germany,Tansania,131.0
2003,Germany,Thailand,715.0
